﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7vsqpQcPaBWzAFvoopHrCd","All the Kings","Editors","IN DREAM","1","8","293561","spotify:user:1152025879","2016-05-30T09:29:13Z"
"spotify:track:1QXzQKmQiDOzGHwSXVdHTp","Tessellate","alt-J","An Awesome Wave (Deluxe Version)","1","3","182666","spotify:user:rhahyrion","2014-11-16T12:35:16Z"
"spotify:track:4pHQSaOkLN3BvHPRjVm8ws","Back To The Shack","Weezer","Back To The Shack","1","1","186613","spotify:user:rhahyrion","2014-11-16T12:35:21Z"
"spotify:track:09ZEB3X2oswrIBBuzuVLEt","Want You Bad","The Offspring","Conspiracy Of One","1","4","202600","spotify:user:1156541371","2015-12-30T22:13:35Z"
"spotify:track:7q2f7lhHTv7j7EFG0vplwA","I Bet My Life","Imagine Dragons","I Bet My Life","1","1","192893","spotify:user:rhahyrion","2014-11-16T12:35:33Z"
"spotify:track:3rTiZmvxnkTLSZsO2cW0KW","Every Other Freckle","alt-J","Every Other Freckle","1","1","216004","spotify:user:rhahyrion","2014-11-16T12:35:39Z"
"spotify:track:1c9IiRvi0Ehis1hDhkfohf","Knights Of Cydonia - Live At Rome Olympic Stadium","Muse","Live At Rome Olympic Stadium","1","6","499373","spotify:user:rhahyrion","2014-11-16T12:36:17Z"
"spotify:track:022GKXcehX0PySMSysm090","Stay Vicious","The Gaslight Anthem","Stay Vicious","1","1","213613","spotify:user:rhahyrion","2014-11-16T12:36:22Z"
"spotify:track:1zFmj3FngtB3QTdWwvdUNY","Figure It Out","Royal Blood","Figure It Out","1","1","184053","spotify:user:rhahyrion","2014-11-16T12:36:26Z"
"spotify:track:0vjYxBDAcflD0358arIVZG","Ten Tonne Skeleton","Royal Blood","Royal Blood","1","9","187853","spotify:user:rhahyrion","2014-11-16T12:36:32Z"
"spotify:track:0eGsygTp906u18L0Oimnem","Mr. Brightside","The Killers","Hot Fuss","1","2","222075","spotify:user:rhahyrion","2014-11-16T12:38:43Z"
"spotify:track:1lDWb6b6ieDQ2xT7ewTC3G","Somebody Told Me","The Killers","Hot Fuss","1","4","197160","spotify:user:rhahyrion","2014-11-16T12:38:43Z"
"spotify:track:3gNGi2iUGHXGpBQHce6Nua","When You Were Young","The Killers","Sam's Town","1","3","220426","spotify:user:rhahyrion","2014-11-16T12:38:43Z"
"spotify:track:0S7zL7ae0KpOSPKeFQpHo8","I Bet You Look Good On The Dancefloor","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","1","2","173680","spotify:user:rhahyrion","2014-11-16T12:39:10Z"
"spotify:track:7vhlwjoNX2gsC4YF1wnUmX","From The Ritz To The Rubble","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","1","12","193426","spotify:user:rhahyrion","2014-11-16T12:39:10Z"
"spotify:track:2gKHrvum6cQ9CipuNYgSVf","Rollin' And Tumblin'","The Gaslight Anthem","Rollin' And Tumblin'","1","1","170960","spotify:user:rhahyrion","2014-11-16T12:41:53Z"
"spotify:track:3OqVFzWBJZOeHrR2zi1jAX","Heart And Soul","Twin Atlantic","Heart And Soul","1","1","218013","spotify:user:rhahyrion","2014-11-16T12:42:03Z"
"spotify:track:1wS6xC6DEUz1sVXpFtJLlY","Sugar","Editors","The Weight Of Your Love","1","2","256853","spotify:user:rhahyrion","2014-11-16T17:46:33Z"
"spotify:track:5AtDUE1dzX1v962kqqMBFc","Papillon","Editors","In This Light And On This Evening","1","3","326133","spotify:user:rhahyrion","2014-11-16T17:46:33Z"
"spotify:track:3qMlMMcqFlD46RT5JJOraY","An End Has A Start","Editors","An End Has A Start","1","2","225533","spotify:user:rhahyrion","2014-11-16T17:46:33Z"
"spotify:track:2CKed6p1cEtbpYqAlco9O9","The Racing Rats","Editors","An End Has A Start","1","6","257786","spotify:user:rhahyrion","2014-11-16T17:46:33Z"
"spotify:track:4z88dsPMPlCPakuhBYkcuP","Munich","Editors","The Back Room","1","2","226426","spotify:user:rhahyrion","2014-11-16T17:46:33Z"
"spotify:track:6OaJYl2aAt3rj2kS0dUsgd","Fortunate Son","Creedence Clearwater Revival","Creedence Clearwater Revival - Best Of","1","9","137786","spotify:user:rhahyrion","2014-11-16T17:47:45Z"
"spotify:track:0GyD0STqshPdWdkXV3B8nT","Lazaretto","Jack White","Lazaretto","1","1","219401","spotify:user:rhahyrion","2014-11-16T17:48:37Z"
"spotify:track:1gC2ac1OuetbDVygbEIXM7","Freedom at 21","Jack White","Blunderbuss","1","3","171640","spotify:user:rhahyrion","2014-11-16T17:48:38Z"
"spotify:track:0fP0H7pj4phmIXO5wRJb2h","Little Lion Man","Mumford & Sons","Sigh No More","1","7","247000","spotify:user:rhahyrion","2014-11-16T17:53:10Z"
"spotify:track:412WIi70huLPSoLgjmyDM7","I Will Wait","Mumford & Sons","Babel","1","3","276720","spotify:user:rhahyrion","2014-11-16T17:53:10Z"
"spotify:track:3fPi21uquxbrNnQEaNlhl6","Lover Of The Light","Mumford & Sons","Babel","1","6","314906","spotify:user:rhahyrion","2014-11-16T17:53:10Z"
"spotify:track:6TVD8T3b7vd63EoZWsSFYh","Hopeless Wanderer","Mumford & Sons","Babel (Gentlemen Of The Road Edition)","1","9","307853","spotify:user:rhahyrion","2014-11-16T17:53:15Z"
"spotify:track:0xOyLz45bRFXuuSfcKr25R","The Fixer","Pearl Jam","Backspacer","1","3","176750","spotify:user:rhahyrion","2014-11-16T17:53:34Z"
"spotify:track:0C9mNpXourW0zyTeSEsDzK","Stronger","The Pheromones","Stronger","1","1","156844","spotify:user:rhahyrion","2014-11-16T17:53:48Z"
"spotify:track:1louej4PYOVIVbagP1taO0","The Captain","Biffy Clyro","Only Revolutions","1","1","223200","spotify:user:rhahyrion","2014-11-16T19:16:13Z"
"spotify:track:1auUyL63z3sWnBhooTnz31","Many Of Horror","Biffy Clyro","Only Revolutions","1","8","258573","spotify:user:rhahyrion","2014-11-16T19:16:13Z"
"spotify:track:5jCfTTPxQeDYwaYtJtzYer","Spanish Radio","Biffy Clyro","Opposites (Deluxe)","2","3","231600","spotify:user:rhahyrion","2014-11-16T19:16:13Z"
"spotify:track:5V3mdRI2yQxbSsJGDPc5lD","Chop Suey!","System Of A Down","Toxicity","1","6","210240","spotify:user:rhahyrion","2014-11-17T20:25:57Z"
"spotify:track:7MeXwzhSDGfqNfuFANgzVC","Toxicity","System Of A Down","Toxicity","1","12","218933","spotify:user:rhahyrion","2014-11-17T20:25:57Z"
"spotify:track:7JqB8SEed68wjX8qpjeixa","The Regulator","Clutch","Summer Sound Attack","1","2","325026","spotify:user:rhahyrion","2014-11-17T20:26:13Z"
"spotify:track:4StfM1idzpB7LsyvL1LpyK","Be A Kid","Twin Atlantic","Great Divide (Deluxe Version)","1","8","253466","spotify:user:1156541371","2014-11-18T07:23:36Z"
"spotify:track:6IlilHik656e8Yh7srdbbk","Hand In Hand","Walking On Cars","Hand In Hand EP","1","1","228158","spotify:user:1156541371","2014-11-18T07:23:41Z"
"spotify:track:14IaFQDWoTKlQGTd3R0lXH","This Isn't Everything You Are","Snow Patrol","Fallen Empires","1","4","297681","spotify:user:1156541371","2014-11-18T07:23:49Z"
"spotify:track:17609ifVvJ7Npd8IqVnRFc","Little Black Submarines - radio edit","The Black Keys","Little Black Submarines","1","1","204692","spotify:user:1156541371","2014-11-18T07:24:01Z"
"spotify:track:3dOAXUx7I1qnzWzxdnsyB8","Lonely Boy","The Black Keys","Lonely Boy","1","1","193653","spotify:user:1156541371","2014-11-18T07:24:07Z"
"spotify:track:4MzGM692jKGkNSQ7qzeTaJ","Fever","The Black Keys","Fever","1","1","246306","spotify:user:1156541371","2014-11-18T07:24:12Z"
